Developer,City,Administrative division,Country,Est.,"Notable games, series or franchises",Notes
ACE Team,Santiago de Chile,,Chile,2007,Zeno Clash series,
Aces Studio,Redmond,Washington,United States,,Microsoft Flight Simulator,Acquired by Microsoft
Acquire,"Chiyoda, Tokyo",,Japan,1994,Tenchu seriesWay of the Samurai seriesShinobido seriesAkiba seriesNo Heroes Allowed! seriesOctopath Traveler,Developer/publisher; acquired by GungHo Online Entertainment
Action Forms,Kyiv,,Ukraine,1995,Carnivores series,Their main employees moved to Tatem Games
Active Gaming Media,Osaka,,Japan,2006,,"Game localization, debugging/testing, international indie game distribution, publishing"
Activision,Santa Monica,California,United States,1979,Call of Duty seriesCrash Bandicoot seriesSpyro the Dragon seriesTony Hawk's Pro Skater seriesGuitar Hero seriesSkylanders seriesMechWarrior 2,Also video game publisher; acquired several other developers; merged with Vivendi to form Activision Blizzard in 2008
Adventure Soft,Birmingham,England,United Kingdom,1992,Simon the Sorcerer series,"The development company is now defunct but the publishing company, Adventure Soft Publishing, is still active."
Akella,Moscow,,Russia,1995,Age of Sail IIAge of Pirates seriesSea Dogs,Defunct in 2012
Alfa System,Kumamoto City,,Japan,1988,Tales of the World seriesOreshika series,
AlphaDream,Tokyo,,Japan,2000,Mario & Luigi series,Defunct in 2019
Amazon Game Studios,Seattle,Washington,United States,2012,New World,Subsidiary of Amazon.com
"Amazon Game Studios, Orange County (formerly Double Helix Games)",Irvine,California,United States,2007,Silent Hill: HomecomingKiller InstinctFront Mission Evolved,acquired by Amazon and incorporated in Amazon Game Studios
Ambrella,Tokyo,,Japan,1996,"Hey You, Pikachu!Pokémon Rumble series",
Amusement Vision,Tokyo,,Japan,2000,Super Monkey Ball seriesF-Zero GX,Subsidiary of Sega
Ancient,Hino,,Japan,1990,,
Anino,Manila,,Philippines,2001,Despicable Me: Minion Mania,
Ankama Games,Roubaix,,France,2001,WakfuDofus,
Appy Entertainment,Carlsbad,California,United States,2008,,
AQ Interactive,Tokyo,,Japan,2005,,Merged into Marvelous Entertainment in 2011
Aquria,Kanagawa,,Japan,2002,Sword Art Online series,
Arc System Works,Yokohama,,Japan,1988,Guilty Gear seriesBlazBlue seriesDragon Ball FighterZGranblue Fantasy Versus,Developer/publisher
Arcane Kids,Los Angeles,California,United States,2010,Bubsy 3D: Bubsy Visits the James Turrell RetrospectiveSonic Dreams Collection,
Arcen Games,Durham,North Carolina,United States,2009,AI War seriesA Valley Without Wind seriesBionic DuesThe Last FederationStarward Rogue,
Arkane Studios,Lyon,,France,1999,Arx FatalisDeathloopDishonored seriesPrey,Subsidiary of ZeniMax Media
Arkedo Studio,Paris,,France,2006,Hell Yeah! Wrath of the Dead Rabbit,Defunct in 2013
ArenaNet,Bellevue,Washington,United States,2000,Guild WarsGuild Wars 2,Subsidiary of NCSoft
Arika,Tokyo,,Japan,1995,Endless Ocean seriesStreet Fighter EX seriesTetris: The Grand Master seriesTetris 99,
"Art Co., Ltd",Tokyo,,Japan,1995,,
Artdink,Tsukishima,,Japan,1986,A-Train seriesSword Art Online series,
ArtePiazza,Tokyo,,Japan,1989,,
Artificial Studios,Gainesville,Florida,United States,2001,,Subsumed by Ignition Entertainment which was defunct in 2012
Artoon,Yokohama,,Japan,1999,Yoshi's Island DS,Subsidiary of AQ Interactive; defunct in 2010
Arzest,Yokohama,,Japan,2010,Wii Play: MotionYoshi's New Island,Formed by former employees of Artoon
Ascaron,Gütersloh,,Germany,1989,Sacred series,Developer/publisher; closed in 2009
Asobo Studio,Bordeaux,,France,2002,Kinect Rush: A Disney–Pixar AdventureA Plague Tale: InnocenceMicrosoft Flight Simulator (2020),
Atari,Pawtucket,Rhode Island,United States,1995,,Acquired by Infogrames in 2001
Atlus,Tokyo,,Japan,1986,Megami Tensei franchise Shin Megami Tensei series Persona series Devil Summoner series Tokyo Mirage Sessions ♯FE Etrian Odyssey seriesTrauma Center seriesCatherine,Developer/publisher; acquired by Sega in 2013
Atomic Planet Entertainment,Middlesbrough,England,United Kingdom,2000,Taito Legends series,Closed in 2009
Attic Entertainment Software,Albstadt,,Germany,1990,Realms of Arkania: Blade of Destiny,Developer/publisher; defunct in 2001
Avalanche Studios Group,Stockholm,,Sweden,2003,Just Cause seriestheHunter series,Acquired by Nordisk Film in 2018
Aventurine SA,Athens,,Greece,2002,Darkfall,
Babaroga,Chicago,Illinois,United States,2001,,
Backflip Studios,Boulder,Colorado,United States,2009,DragonVale,Subsidiary of Hasbro; closed in 2019[2]
Bandai Namco EntertainmentBandai Namco Studios,"Minato, Tokyo",,Japan,19552012,Pac-Man franchiseTekken franchise Tekken series Tekken Tag Tournament series Soul Calibur seriesTales seriesKatamari seriesAce Combat seriesThe Idolmaster seriesTaiko no Tatsujin seriesGod Eater seriesSuper Smash Bros. for Nintendo 3DS and Wii UPokkén TournamentMr. Driller seriesMojipittan seriesFamily Stadium seriesCode VeinNew Pokémon Snap,Bandai Namco Entertainment is a subsidiary of Bandai Namco Holdings; Bandai Namco Studios was split off from Bandai Namco Entertainment in 2012
Bauhaus Entertainment,Tokyo,,Japan,2006,,Division of Imagica DigitalScape [ja]
B.B. Studio,Tokyo,,Japan,1994,Digimon World seriesSuper Robot Wars series,Formerly known as Banpre Kikaku and Banpresoft; Subsidiary of Bandai Namco Entertainment
Beenox,Quebec City,Quebec,Canada,2000,Spider-Man game seriesCrash Team Racing Nitro-Fueled,"Acquired by Activision on May 25, 2005"
Behaviour Interactive,Montreal,Quebec,Canada,1992,Dead by Daylight,
Behaviour Santiago,Santiago de Chile,,Chile,2002,Assault Heroes series,Subsidiary of Behaviour Interactive; closed in 2017
Bethesda Game Studios,Rockville,Maryland,United States,2001,The Elder Scrolls seriesFallout series,In-house development team of Bethesda Softworks LLC
Bethesda Softworks,Rockville,Maryland,United States,2001,The Elder Scrolls seriesFallout series,In-house development team of Bethesda Softworks LLC
Big Blue Bubble,Ontario,,Canada,2004,My Singing Monsters franchise,Acquired by Enad Global 7 in 2020.[3]
Big Finish Games,Salt Lake City,Utah,United States,2007,Tesla Effect: A Tex Murphy Adventure,
Big Huge Games,Baltimore,Maryland,United States,2000,Rise of NationsKingdoms of Amalur: ReckoningDomiNations,Acquired by Nexon in 2016
BioWare,Edmonton,Alberta,Canada,1995,Baldur's Gate seriesMass Effect seriesDragon Age seriesNeverwinter NightsStar Wars: The Old RepublicAnthem,Acquired by Electronic Arts in 2007
The Bitmap Brothers,London,England,United Kingdom,1987,Xenon series,Dissolved.[4][5] Their portfolio was acquired by Rebellion Developments in 2019.[6]
Best Way,Luhansk,,Ukraine,1991,Men of War series,
Bits Studios,London,England,United Kingdom,1991,Spider-Man: Return of the Sinister Six,Acquired by PlayWize in 2008
Bizarre Creations,Liverpool,England,United Kingdom,1994,Project Gotham Racing seriesGeometry Wars series,Defunct in 2011
Black Forest Games,Offenburg,,Germany,2012,Giana Sisters: Twisted Dreams,Acquired by THQ Nordic in 2017
Black Isle Studios,Orange County,California,United States,1996,Fallout 2Planescape: TormentIcewind Dale,Subsidiary of Interplay Entertainment; closed in 2003
Black Rock Studio,Brighton,England,United Kingdom,1998,MotoGP 2ATV Offroad Fury 3,Defunct in 2011
Black Wing Foundation,Dnipro,,Ukraine,2006,Stalin vs. MartiansSpeed Kills,
Blitz Games Studios,Leamington Spa,England,United Kingdom,1990,Karaoke Revolution,Liquidated[7]
Blizzard Entertainment,Irvine,California,United States,1991,Diablo seriesStarCraft seriesWarcraft seriesHearthstoneHeroes of the StormOverwatch,Developer/publisher; acquired by Vivendi and became part of Vivendi Games group in 1998; merged into Activision Blizzard in 2008
Bloober Team,Kraków,Lesser Poland Voivodeship,Poland,2008,Layers of Fear series,
Bluepoint Games,Austin,Texas,United States,2006,Shadow of the Colossus remakeDemon's Souls remake,
Blueside,Seoul,,South Korea,2003,Kingdom Under Fire series,Founded by former employees of Phantagram
Blue Fang Games,Waltham,Massachusetts,United States,1998,Zoo Tycoon series,Shut down in 2011
Blue Tongue Entertainment,Melbourne,Victoria,Australia,1995,Jurassic Park: Operation Genesisde BlobMarvel Super Hero Squad,Shut down in 2011; subsidiary of THQ
Bluehole,Seongnam,,South Korea,2007,TERAPlayerUnknown's Battlegrounds,
Bohemia Interactive,Prague,,Czech Republic,1999,Operation Flashpoint: Cold War CrisisArma seriesTake On HelicoptersCarrier Command: Gaea MissionDayZ,
Boss Fight Entertainment,McKinney,Texas,United States,2013,,
Boss Key Productions,Raleigh,North Carolina,United States,2014,LawBreakers,Founded by Cliff Bleszinski and Arjan Brussee
BreakAway Games,Hunt Valley,Maryland,United States,1998,,
Brøderbund,Eugene,Oregon,United States,1980,Prince of Persia series,Closed in 1998
Bugbear Entertainment,Helsinki,,Finland,2000,FlatOut seriesWreckfest,Acquired by THQ Nordic in 2018
Bullfrog Productions,Guildford,England,United Kingdom,1987,Theme ParkMagic CarpetSyndicateDungeon Keeper series,Acquired by Electronic Arts in 1995 and closed in 2001
Bungie,Bellevue,Washington,United States,1991,Halo seriesMarathonOniMythPathways into DarknessMinotaur: The Labyrinths of CreteOperation: Desert StormDestiny series,Formerly a subsidiary of Microsoft Game Studios
Camelot Software Planning,Tokyo,,Japan,1990,Shining seriesMario Golf seriesMario Tennis seriesGolden Sun series,
Capcom,Osaka,,Japan,1979,Mega Man franchise Mega Man series Mega Man X series Mega Man Legends series Mega Man Battle Network series Mega Man Zero series Mega Man ZX series Mega Man Star Force series Street Fighter franchiseResident Evil franchiseDevil May Cry franchiseMonster Hunter franchiseGhost 'n Goblins seriesStrider seriesFinal Fight seriesDino Crisis seriesDarkstalkers seriesAce Attorney franchiseOnimusha seriesSengoku BASARA seriesDragon's Dogma seriesViewtiful Joe seriesŌkami seriesDead Rising seriesMarvel vs. Capcom seriesBreath of Fire series,Developer/publisher
Capcom Vancouver,Burnaby,British Columbia,Canada,2005,Dead Rising series,"Founded as Blue Castle Games; acquired by Capcom in 2010; closed on September 18, 2018"
Carbine Studios,Aliso Viejo,California,United States,2005,WildStar,Subsidiary of NCSoft
Cattle Call,Tokyo,,Japan,1998,Metal Max seriesArc the Lad series,Formed by former employees of Data East
Cauldron,Bratislava,,Slovakia,1996,Chaser,Their assets were acquired by Bohemia Interactive[8]
Cave,"Shinjuku, Tokyo",,Japan,1994,DoDonPachi,
Cavia,Tokyo,,Japan,2000,Drakengard seriesNier,
CCP Games,Reykjavík,,Iceland,1997,Eve Online,Their Newcastle studio was acquired by Sumo Digital. CCP Games itself was acquired by Pearl Abyss.
CD Projekt Red,Warsaw,Masovian Voivodeship,Poland,2002,The Witcher seriesCyberpunk 2077,Game development studio of CD Projekt
Certain Affinity,Austin,Texas,United States,2006,Halo series,Co-developed the Halo series
Chair Entertainment,Salt Lake City,Utah,United States,2005,UndertowShadow ComplexInfinity Blade series,Subsidiary of Epic Games
Chunsoft,"Shinjuku, Tokyo",,Japan,1984,Mystery Dungeon seriesDragon Quest I–V,Merged with Spike to become Spike Chunsoft in 2012
Cing,Fukuoka,,Japan,1999,Little King's Story,
Clap Hanz,Yokohama,,Japan,1998,Everybody's Golf seriesEverybody's Tennis series,
Climax Entertainment,Tokyo,,Japan,1990,Runabout series,
Climax Studios,Portsmouth,England,United Kingdom,1988,Silent Hill: OriginsAssassin's Creed Chronicles series,
Clover Studio,Osaka,,Japan,2004,Viewtiful Joe seriesOkamiGod Hand,Subsidiary of Capcom; became defunct in 2007.
Coded Illusions,Rotterdam,,Netherlands,2005,,
Codemasters,Southam,England,United Kingdom,1985,F1 seriesColin McRae Rally seriesOperation Flashpoint seriesGrid series,Former subsidiary of Reliance Entertainment; developer/publisher
Coffee Stain Studios,Skövde,,Sweden,2010,Goat Simulator Satisfactory,Acquired by THQ Nordic AB (latterly Embracer Group) in 2018
Cohort Studios,Cardiff,Wales,United Kingdom,2006,Buzz! Junior series,
Coktel Vision,Paris,,France,1985,Inca series,Former publisher
Colossal Order,Tampere,,Finland,2009,Cities in MotionCities: Skylines,Developer for Paradox Interactive
Compile Heart,Tokyo,,Japan,2006,Hyperdimension Neptunia franchiseMary Skelter seriesRecord of Agarest War,Developer/publisher; subsidiary of Idea Factory
Compulsion Games,Montreal,Quebec,Canada,2009,ContrastWe Happy Few,Acquired by Microsoft Studios in 2018
Core Design,Derby,England,United Kingdom,1988,Tomb Raider series,Subsidiary of Eidos Interactive; closed down in 2006
Crafts & Meister,Osaka,,Japan,2004,Gundam Breaker series,
Crawfish Interactive,Croydon,England,United Kingdom,1997,,Defunct in 2002
Creat Studios,Canton,Massachusetts,United States,1990,American Chopper 2: Full Throttle,
Creative Assembly,Horsham,England,United Kingdom,1987,Total War seriesAlien: Isolation,Acquired by Sega in 2005
Creatures,Tokyo,,Japan,1995,Pokémon Ranger seriesDetective Pikachu,
Criterion Games,Guildford,England,United Kingdom,1993,Burnout series,Subsidiary of Electronic Arts
Croteam,Zagreb,,Croatia,1993,Serious Sam seriesThe Talos Principle,
Cryo Interactive,Paris,,France,1992,DuneEgypt series,Bankrupt in 2002
Culture Brain Excel,Tokyo,,Japan,1980,Hiryū no Ken seriesSuper Chinese series,
Crea-Tech,Tokyo,,Japan,1988,Metal Max series,
Cryptic Studios,Los Gatos,California,United States,2000,City of HeroesChampions OnlineStar Trek Online,Subsidiary of Perfect World
Crystal Dynamics,Redwood City,California,United States,1992,Legacy Of Kain seriesTomb Raider series (second era),Acquired by Square Enix in 2009
Crytek,Frankfurt,,Germany,1999,Far CryCrysis seriesRyse: Son of Rome,
Crytek UK,Nottingham,England,United Kingdom,1999,TimeSplitters series,Founded as Free Radical Design; acquired by Crytek in 2009; defunct in 2014
Cyan Worlds,Mead,Washington,United States,1987,Myst series,
Cyanide,Nanterre,,France,2000,Pro Cycling Manager series,Acquired by Bigben Interactive (latterly Nacon) in 2018
CyberConnect2,Fukuoka,,Japan,1996,.hack franchise .hack series .hack//G.U. series Naruto: Ultimate Ninja seriesDragon Ball Z: Kakarot,
Cyberlore Studios (Blueline Simulations[9]),Northampton,Massachusetts,United States,1992,Majesty: The Fantasy Kingdom Sim,Developer of computer games
CyberStep,Tokyo,,Japan,2000,GetAmpedCosmic BreakGetAmped2Onigiri,Developer/publisher of global online games
Cygames,Tokyo,,Japan,2011,The Idolmaster Cinderella Girls seriesGranblue Fantasy seriesShadowversePrincess Connect! seriesDragalia Lost,Subsidiary of CyberAgent
Dambuster Studios,Nottingham,England,United Kingdom,2014,Homefront: The RevolutionDead Island 2,Formed by former employees of Crytek UK; acquired by Koch Media in 2014 and managed by its Deep Silver division
Danger Close Games,Los Angeles,California,United States,1995,Medal of Honor series,Subsidiary of Electronic Arts; defunct in 2013
Day 1 Studios,Chicago,Illinois,United States,2001,Axis & Allies seriesMechAssault series,Merged with WarGaming[10]
Daybreak Game Company,San Diego,California,United States,1997,EverQuest seriesPlanetSide seriesH1Z1 series,Acquired by Enad Global 7 in 2020.[11]
Deadline Games,Copenhagen,,Denmark,1996,Total OverdoseWatchmen: The End Is NighFaith and a .45,
Deck13,Frankfurt,,Germany,2001,Ankh seriesThe Surge series,Acquired by Focus Home Interactive in 2020.[12]
Deep Silver Volition,Champaign,Illinois,United States,1996,Saints Row seriesRed Faction series,Acquired by Koch Media in 2013 and managed by its Deep Silver division
Demiurge Studios,Cambridge,Massachusetts,United States,2002,,acquired by Sega in 2015
DeNA,Tokyo,,Japan,1999,Final Fantasy Record KeeperPokémon MastersMario Kart Tour,
devCAT Studios (Nexon development 3rd division),Seoul,,South Korea,2001,MabinogiVindictus,Division of Nexon Korea
Developer House (Developer House Technology PVT LTD)[13],Panchkula,,India,2015,
Dhruva Interactive,Bangalore,,India,1997,,Acquired by Starbreeze Studios in 2016 and then they were acquired by Rockstar Games and were merged into Rockstar India in 2019
Die Gute Fabrik,Copenhagen,,Denmark,2006,Where is my Heart?JoustSportsfriends,
Digital Extremes,London,Ontario,Canada,1993,Warframe,"Subsidiary of Leyou; Founded by James Schmalz, co-creator of Unreal series."
Digital Eclipse,Emeryville,California,United States,1992,,Division of Other Ocean Group[14]
Digitalmindsoft,Ulm,,Germany,2006,Men of War series,
Digital Reality,Budapest,,Hungary,1991,Imperium Galactica series,Defunct in 2013; their assets were acquired by Nordic Games[15]
Dimps,Osaka,,Japan,2000,Street Fighter IVDragon Ball Z: Budokai seriesDragon Ball Xenoverse seriesSword Art Online: Fatal Bullet,
Disney Interactive Studios,Glendale,California,United States,1988,,Publisher and subsidiary of The Walt Disney Company; closed in 2016
Dontnod Entertainment,Paris,,France,2008,Life Is Strange seriesTell Me Why,
DotEmu,Paris,,France,2007,Wonder Boy: The Dragon's Trap Streets of Rage 4,
Double Fine Productions,San Francisco,California,United States,2000,PsychonautsBroken AgeGang Beasts,Founded by former employees of LucasArts; acquired by Microsoft in 2019
Dynamix,Eugene,Oregon,United States,1984,Red BaronFront Page Sports seriesBetrayal at KrondorTribes seriesMechWarrior,Closed in 2001
Dovetail Games,Chatham,England,United Kingdom,2008,Train Simulator franchise,
The Dovetail Group,,,United States,c. 1984,,Early developer of music video games
EA Black Box,British Columbia,,Canada,1998,Skate series,Subsidiary of Electronic Arts; closed in 2013
EA Digital Illusions CE (EA DICE),Stockholm,,Sweden,1992,Battlefield seriesMirror's Edge,Acquired by Electronic Arts in 2004
EA Gothenburg,Gothenburg,,Sweden,2011,Need for Speed Payback,Subsidiary of Electronic Arts
EA Vancouver (formerly Distinctive Software),Burnaby,British Columbia,Canada,1982,Test DriveSSX series,Acquired by Electronic Arts in 1991
Eat Sleep Play,Salt Lake City,Utah,United States,2007,Twisted Metal series,Defunct in 2017
Eko Software,Paris,,France,1999,,Acquired by Bigben Interactive (latterly Nacon) in 2018
Egosoft,Würselen,,Germany,1988,X series,
Eden Games,Lyon,,France,1998,Test Drive Unlimited series,Former subsidiary of Atari SA
Eighting,Tokyo,,Japan,1993,Kururin seriesKamen Rider: Climax seriesKamen Rider: Battride War seriesMarvel vs. Capcom 3: Fate of Two Worlds,Acquired by COLOPL
Electronic Arts,Redwood City,California,United States,1982,FIFA seriesNeed For Speed seriesPlants vs. Zombies series Apex Legends,Developer/publisher/distributor
EA Sports,Redwood City,California,United States,1982,FIFA seriesNeed For Speed seriesPlants vs. Zombies series Apex Legends,Developer/publisher/distributor
Elemental Games,Vladivostok,,Russia,1999,Space Rangers,Defunct in 2015
Engine Software,Doetinchem,,Netherlands,1995,,Also middleware developer
Ensemble Studios,Dallas,Texas,United States,1995,Age of Empires seriesAge of MythologyHalo Wars,Former subsidiary of Microsoft Studios
Epic Games,Cary,North Carolina,United States,1991,Unreal seriesGears of War seriesShadow ComplexInfinity Blade seriesFortnite,"Developer, publisher, and distributor"
Epics,Tokyo,,Japan,1987,PoPoLoCrois series,
Epicenter Studios,Sherman Oaks,California,United States,2007,Real Heroes: Firefighter,
Epyx,San Francisco,California,United States,1978,California Games seriesImpossible Mission seriesJumpman seriesPitstop seriesSummer Games series,"Developer/publisher, defunct 1993"
ESA (formerly Softmax),Seoul,,South Korea,1994,TalesWeaver,ESA left from game business. The former employees formed Studio 4Leaf and the studio was acquired by NextFloor [ko].[16]
Étranges Libellules,Lyon,,France,1994,Asterix & Obelix XXL,
Eugen Systems,Paris,,France,2000,Act of War seriesWargame seriesSteel Division series,
Eurocom,Derby,England,United Kingdom,1988,GoldenEye 007,
Evolution Studios,Runcorn,England,United Kingdom,1999,World Rally Championship seriesMotorStorm series,Division of SIE Worldwide Studios and subsidiary of Sony Computer Entertainment; defunct in 2016
Examu,Tokyo,,Japan,2007,Arcana Heart series,Their business operations were suspended in 2020 and their business was taken over by Team Arcana.[17]
Eyedentity Games,Seoul,,South Korea,2007,Dragon Nest,Acquired by Shanda Games (currently Shengqu Games) in 2010
F4,Paris,,France,2002,Empire of Sports,
Facepunch Studios,Walsall,England,United Kingdom,2009,Garry's Mod  Rust,
FarSight Studios,Big Bear Lake,California,United States,1989,The Pinball Arcade,
FASA Studio,Redmond,Washington,United States,1994,MechCommander seriesMechWarrior 4,defunct in 2007
Fatshark,Stockholm,,Sweden,2008,War of the RosesWarhammer: Vermintide series,Subsidiary of Tencent
feelplus,Tokyo,,Japan,1992,No More Heroes: Heroes' Paradise,Merged into AQ Interactive
Felistella,Gifu,,Japan,2010,Summon Night 5,
Firaxis Games,Sparks,Maryland,United States,1996,Civilization series (part 3 and later)XCOM (Reboot) series,Subsidiary of 2K Games; founded by former employees of MicroProse.
Firefly Studios,London,England,United Kingdom,1999,Stronghold series,
Firesprite,Liverpool,England,United Kingdom,2012,,Formed by former employees of SCE Studio Liverpool
First Star Software,Chappaqua,New York,United States,1982,,Defunct in 2018. Their name and assets were acquired by BBG Entertainment
Flagship Studios,San Francisco,California,United States,2003,Hellgate:LondonMythos,Closed down in 2008
Flight-Plan,Gifu,,Japan,1989,Black/Matrix seriesSummon Night series,Defunct in 2010
Flying Wild Hog,Warsaw,,Poland,2009,Hard ResetShadow Warrior series,Acquired by Embracer Group in 2020.[18]
Focus Home Interactive,Paris,,France,1996,Cities XL series (2011 and later),
Foundation 9 Entertainment,Emeryville,California,United States,1992,,Dissolved in 2016
Fox Digital Entertainment,Los Angeles,California,United States,2002,,"Subsidiary of 20th Century Studios. The company still exists, but 20th Century Fox's video game business was rearranged to FoxNext."
FoxNext,Los Angeles,California,United States,2017,Marvel Strike Force,Division of 20th Century Studios. The company still exists but their game development studios were acquired by Scopely in 2020.[19]
Frictional Games,Helsingborg,,Sweden,2001,Penumbra seriesAmnesia: The Dark DescentSOMA,
Frogwares,Kyiv,,Ukraine,2000,Adventures of Sherlock Holmes series,
FromSoftware,Tokyo,,Japan,1986,Armored Core series Souls series  Demon's Souls Dark Souls series BloodborneSekiro: Shadows Die Twice,Subsidiary of Kadokawa Corporation
Frontier Developments,Cambridge,England,United Kingdom,1994,Elite seriesThrillvilleLostWindsKinectimalsRollerCoaster Tycoon 3Planet Coaster,
Frozenbyte,Helsinki,,Finland,2001,Shadowgrounds seriesTrine series,
FTL Games,San Diego,California,United States,1982,Dungeon Master series,Closed in 1982
FUN Labs,Bucharest,,Romania,1999,MIB: Alien CrisisCabela's series,
Funcom,Oslo,,Norway,1993,The Longest Journey seriesAnarchy OnlineAge of ConanThe Secret WorldConan Exiles,Developer/publisher; acquired by Tencent in 2020[20]
FuRyu,Tokyo,,Japan,2007,Unchained Blades seriesBeyblade Burst seriesCardfight!! Vanguard series,
Futuremark,Espoo,,Finland,1997,Shattered Horizon,Their game development division was acquired by Rovio Entertainment. Futuremark itself was acquired by UL and was merged into them.
Gaijin Entertainment,Moscow,,Russia,2002,War ThunderIL-2 Sturmovik: Birds of Prey,
Game Arts,"Chiyoda, Tokyo",,Japan,1985,Thexder seriesLunar seriesGrandia series,Acquired by GungHo Online Entertainment in 2005.
Game Freak,"Setagaya-ku, Tokyo",,Japan,1989,Pokémon series,
GameHouse,Seattle,Washington,United States,1998,Delicious series,"Casual game developer, publisher and portal; acquired by RealNetworks"
Gameloft,Paris,,France,1999,Modern Combat: DominationOrder & Chaos OnlineAssassin's Creed (for mobile)Asphalt,Subsidiary of Vivendi; developer/publisher of mobile games
Ganbarion,Fukuoka,,Japan,1999,One Piece seriesJump Super Stars seriesWii Fit UDragon Ball Fusions,
Gearbox Software,Plano,Texas,United States,1999,Brothers In Arms seriesBorderlands seriesHalf-Life: Opposing Force,
Geewa,Prague,,Czech Republic,2005,,
Genius Sonority,Tokyo,,Japan,2002,Pokémon Colosseum seriesPokémon Trozei! seriesThe Denpa Men series,
Genki,"Shinjuku, Tokyo",,Japan,1990,Shutokou Battle series,Subsidiary of Daikoku Denki [ja]
Glu Mobile,San Francisco,California,United States,2001,Deer Hunter series,Developer and publisher of mobile games
Gogii Games,Moncton,New Brunswick,Canada,2006,,Developer/publisher
Good-Feel,Kobe,,Japan,2005,Kirby's Epic YarnYoshi's Woolly WorldYoshi's Crafted World,Founded by former employees of Konami
Granzella,Nonoichi,,Japan,2011,Disaster Report 4 Plus: Summer Memories,Founded by former Irem employees
Grasshopper Manufacture,"Chiyoda, Tokyo",,Japan,1998,"The Silver CaseFlower, Sun, and Rainkiller7No More Heroes seriesShadows of the DamnedLollipop ChainsawKiller Is DeadLet It Die",Founded by Suda51; acquired by GungHo Online Entertainment in 2013
Gravity,Seoul,,South Korea,2000,Ragnarok Online,Acquired by GungHo Online Entertainment
Gray Matter Interactive,Los Angeles,California,United States,1993,Call of Duty: United Offensive,Merged into Treyarch in 2005
Gremlin Interactive,Sheffield,England,United Kingdom,1984,Zool and Premier Manager,Taken over by Infogrames in 1999 studio closed in 2003
Grezzo,"Shibuya, Tokyo",,Japan,2006,The Legend of Zelda: Ocarina of Time 3DThe Legend of Zelda: Majora's Mask 3DThe Legend of Zelda: Tri Force HeroesEver OasisThe Legend of Zelda: Link's Awakening (2019 Remake),Second-party developer of Nintendo
Grinding Gear Games,Auckland,,New Zealand,2006,Path of Exile,Acquired by Tencent
Griptonite Games,Kirkland,Washington,United States,1994,Marvel Super Hero Squad: Comic Combat,Acquired by Glu Mobile
GSC Game World,Kyiv,,Ukraine,1995,S.T.A.L.K.E.R series,"Defunct in 2011, reopened in 2014"
Guerrilla Cambridge,Cambridge,England,United Kingdom,"1997 (as SCE Cambridge Studio), 2013",MediEvil series,Branch of Guerrilla Games and division of SIE Worldwide Studios; closed in 2017
Guerrilla Games,Amsterdam,,Netherlands,2000,Killzone seriesHorizon Zero Dawn,Division of SIE Worldwide Studios since 2004
Gunfire Games,Austin,Texas,United States,2014,Darksiders IIIRemnant: From the Ashes,Formed by former employees of Vigil Games; acquired by THQ Nordic in 2019
